x[m],y[m],z[m],pump_fraction,gi[rad/s],u_norm
-5.803947023103451066e-04,7.764002969531535884e-04,-7.429560207515866670e-04,1.562238908362101608e-01,6.446839425843609497e+05,9.801056919790236410e-01
6.139715288583198695e-05,-1.235442409793028945e-03,-7.596177674328914069e-05,1.562238908362101608e-01,6.576302591206537327e+05,9.997878302939892103e-01
7.002561205854864867e-04,-8.009490792108448789e-05,-1.295282781654033414e-03,1.171422950734184315e-01,6.225516702948424499e+05,9.464582492330021468e-01
-2.667647622607449850e-04,-3.487219357452311084e-04,2.313416447992441155e-04,1.171422950734184315e-01,6.561827927647916367e+05,9.975872635966995805e-01
-2.629685961552955735e-04,-7.425593254313024062e-04,-2.209852472119415499e-04,1.171422950734184315e-01,6.562874350169791142e+05,9.977463500268335395e-01
-5.212953402578668740e-05,4.141665645093752716e-04,-9.450014718658811133e-04,1.171422950734184315e-01,6.409543652191698784e+05,9.744356577764553551e-01
3.034474310535995902e-04,-1.282796016457069378e-04,-4.887196983080249919e-04,1.171422950734184315e-01,6.525220914006346138e+05,9.920219407979605775e-01
8.948654611903077366e-04,7.138983105584661244e-04,1.679658387910204823e-04,1.562238908362101608e-01,6.507547177527573658e+05,9.893350226699950678e-01
-4.442755136255536531e-04,-1.037725834475869673e-03,-3.870646076942555456e-04,1.562238908362101608e-01,6.533481369838110404e+05,9.932777685368365805e-01
3.558773698784022067e-04,5.924183242894557949e-04,2.096687692261108265e-04,1.171422950734184315e-01,6.559135571489655413e+05,9.971779477410932513e-01
1.512812043845774223e-04,3.485581038567745317e-04,3.868645869229393416e-04,1.171422950734184315e-01,6.547603392866813811e+05,9.954247236939954835e-01
-1.301028670286448171e-03,8.855292271455436918e-05,-5.883101087440477123e-04,1.562238908362101608e-01,6.376915848608415108e+05,9.694752897734063568e-01
-2.935215375068821945e-04,-9.931673858039739324e-04,-2.185894687610506369e-04,1.562238908362101608e-01,6.561695585989947431e+05,9.975671438444158046e-01
-9.263022890572035972e-05,-1.762418828588768478e-04,1.501274662377725944e-03,1.171422950734184315e-01,6.155955280757262371e+05,9.358829050483140621e-01
-2.769916778552399003e-05,-1.082672227885091458e-03,8.477390710483006207e-05,1.562238908362101608e-01,6.576278698136861203e+05,9.997841978576833544e-01
